product_1_code,product_1_description,product_2_code,product_2_description,times_bought_together,pair_rank
22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,546,1
22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,541,2
22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED,530,3
20725,LUNCH BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,523,4
20725,LUNCH BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,517,5
82482,WOODEN PICTURE FRAME WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE,468,6
20725,LUNCH BAG RED RETROSPOT,22382,LUNCH BAG SPACEBOY DESIGN,467,7
20727,LUNCH BAG  BLACK SKULL.,22384,LUNCH BAG PINK POLKADOT,464,8
23300,GARDENERS KNEELING PAD CUP OF TEA,23301,GARDENERS KNEELING PAD KEEP CALM,463,9
22697,GREEN REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,460,10
20725,LUNCH BAG RED RETROSPOT,20728,LUNCH BAG CARS BLUE,458,11
21733,RED HANGING HEART T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,455,12
22086,PAPER CHAIN KIT 50'S CHRISTMAS,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,451,13
20725,LUNCH BAG RED RETROSPOT,22383,LUNCH BAG SUKI DESIGN,450,14
22698,PINK REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,436,15
21931,JUMBO STORAGE BAG SUKI,85099B,JUMBO BAG RED RETROSPOT,434,16
20725,LUNCH BAG RED RETROSPOT,20726,LUNCH BAG WOODLAND,433,17
20728,LUNCH BAG CARS BLUE,22384,LUNCH BAG PINK POLKADOT,427,18
20725,LUNCH BAG RED RETROSPOT,85099B,JUMBO BAG RED RETROSPOT,425,19
22629,SPACEBOY LUNCH BOX,22630,DOLLY GIRL LUNCH BOX,424,20
20727,LUNCH BAG  BLACK SKULL.,20728,LUNCH BAG CARS BLUE,421,21
22423,REGENCY CAKESTAND 3 TIER,22699,ROSES REGENCY TEACUP AND SAUCER,420,22
20727,LUNCH BAG  BLACK SKULL.,22382,LUNCH BAG SPACEBOY DESIGN,418,23
85099B,JUMBO BAG RED RETROSPOT,85099F,JUMBO BAG STRAWBERRY,414,24
20727,LUNCH BAG  BLACK SKULL.,22383,LUNCH BAG SUKI DESIGN,409,25
22469,HEART OF WICKER SMALL,22470,HEART OF WICKER LARGE,407,26
20726,LUNCH BAG WOODLAND,22382,LUNCH BAG SPACEBOY DESIGN,405,27
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099B,JUMBO BAG RED RETROSPOT,396,28
22727,ALARM CLOCK BAKELIKE RED,22728,ALARM CLOCK BAKELIKE PINK,396,28
20728,LUNCH BAG CARS BLUE,22382,LUNCH BAG SPACEBOY DESIGN,391,30
20728,LUNCH BAG CARS BLUE,22383,LUNCH BAG SUKI DESIGN,390,31
20725,LUNCH BAG RED RETROSPOT,23206,LUNCH BAG APPLE DESIGN,389,32
23298,SPOTTY BUNTING,47566,PARTY BUNTING,389,32
22382,LUNCH BAG SPACEBOY DESIGN,22383,LUNCH BAG SUKI DESIGN,378,34
22423,REGENCY CAKESTAND 3 TIER,22697,GREEN REGENCY TEACUP AND SAUCER,374,35
22382,LUNCH BAG SPACEBOY DESIGN,22384,LUNCH BAG PINK POLKADOT,367,36
85099B,JUMBO BAG RED RETROSPOT,85099C,JUMBO  BAG BAROQUE BLACK WHITE,362,37
20726,LUNCH BAG WOODLAND,20728,LUNCH BAG CARS BLUE,362,37
22383,LUNCH BAG SUKI DESIGN,23206,LUNCH BAG APPLE DESIGN,360,39
22383,LUNCH BAG SUKI DESIGN,22384,LUNCH BAG PINK POLKADOT,358,40
22382,LUNCH BAG SPACEBOY DESIGN,22662,LUNCH BAG DOLLY GIRL DESIGN,356,41
23199,JUMBO BAG APPLES,85099B,JUMBO BAG RED RETROSPOT,351,42
20726,LUNCH BAG WOODLAND,20727,LUNCH BAG  BLACK SKULL.,347,43
23202,JUMBO BAG VINTAGE LEAF,85099B,JUMBO BAG RED RETROSPOT,345,44
22726,ALARM CLOCK BAKELIKE GREEN,22728,ALARM CLOCK BAKELIKE PINK,343,45
21212,PACK OF 72 RETROSPOT CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,335,46
21929,JUMBO BAG PINK VINTAGE PAISLEY,85099B,JUMBO BAG RED RETROSPOT,331,47
21212,PACK OF 72 RETROSPOT CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,330,48
20724,RED RETROSPOT CHARLOTTE BAG,22356,CHARLOTTE BAG PINK POLKADOT,322,49
20727,LUNCH BAG  BLACK SKULL.,23206,LUNCH BAG APPLE DESIGN,320,50
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,319,51
20726,LUNCH BAG WOODLAND,22384,LUNCH BAG PINK POLKADOT,318,52
22727,ALARM CLOCK BAKELIKE RED,22730,ALARM CLOCK BAKELIKE IVORY,314,53
23199,JUMBO BAG APPLES,23200,JUMBO BAG PEARS,312,54
22138,BAKING SET 9 PIECE RETROSPOT,22617,BAKING SET SPACEBOY DESIGN,311,55
22382,LUNCH BAG SPACEBOY DESIGN,23206,LUNCH BAG APPLE DESIGN,310,56
22423,REGENCY CAKESTAND 3 TIER,22698,PINK REGENCY TEACUP AND SAUCER,309,57
20725,LUNCH BAG RED RETROSPOT,22662,LUNCH BAG DOLLY GIRL DESIGN,309,57
22960,JAM MAKING SET WITH JARS,22961,JAM MAKING SET PRINTED,308,59
23206,LUNCH BAG APPLE DESIGN,23207,LUNCH BAG ALPHABET DESIGN,308,59
82482,WOODEN PICTURE FRAME WHITE FINISH,85123A,WHITE HANGING HEART T-LIGHT HOLDER,308,59
20726,LUNCH BAG WOODLAND,22383,LUNCH BAG SUKI DESIGN,307,62
23206,LUNCH BAG APPLE DESIGN,23208,LUNCH BAG VINTAGE LEAF DESIGN,304,63
20726,LUNCH BAG WOODLAND,23206,LUNCH BAG APPLE DESIGN,298,64
20724,RED RETROSPOT CHARLOTTE BAG,22355,CHARLOTTE BAG SUKI DESIGN,298,64
22720,SET OF 3 CAKE TINS PANTRY DESIGN,22722,SET OF 6 SPICE TINS PANTRY DESIGN,298,64
23199,JUMBO BAG APPLES,23206,LUNCH BAG APPLE DESIGN,296,67
23201,JUMBO BAG ALPHABET,85099B,JUMBO BAG RED RETROSPOT,296,67
20723,STRAWBERRY CHARLOTTE BAG,20724,RED RETROSPOT CHARLOTTE BAG,296,67
22386,JUMBO BAG PINK POLKADOT,85099F,JUMBO BAG STRAWBERRY,293,70
22551,PLASTERS IN TIN SPACEBOY,22554,PLASTERS IN TIN WOODLAND ANIMALS,292,71
23203,JUMBO BAG VINTAGE DOILY,85099B,JUMBO BAG RED RETROSPOT,291,72
22384,LUNCH BAG PINK POLKADOT,23206,LUNCH BAG APPLE DESIGN,290,73
22470,HEART OF WICKER LARGE,85123A,WHITE HANGING HEART T-LIGHT HOLDER,290,73
20728,LUNCH BAG CARS BLUE,23206,LUNCH BAG APPLE DESIGN,290,73
20719,WOODLAND CHARLOTTE BAG,20724,RED RETROSPOT CHARLOTTE BAG,289,76
22112,CHOCOLATE HOT WATER BOTTLE,22835,HOT WATER BOTTLE I AM SO POORLY,288,77
23199,JUMBO BAG APPLES,23202,JUMBO BAG VINTAGE LEAF,284,78
23321,SMALL WHITE HEART OF WICKER,23322,LARGE WHITE HEART OF WICKER,281,79
21931,JUMBO STORAGE BAG SUKI,22386,JUMBO BAG PINK POLKADOT,281,79
22865,HAND WARMER OWL DESIGN,22866,HAND WARMER SCOTTY DOG DESIGN,281,79
21977,PACK OF 60 PINK PAISLEY CAKE CASES,84991,60 TEATIME FAIRY CAKE CASES,280,82
47566,PARTY BUNTING,85123A,WHITE HANGING HEART T-LIGHT HOLDER,279,83
23199,JUMBO BAG APPLES,23201,JUMBO BAG ALPHABET,277,84
22384,LUNCH BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,277,84
20724,RED RETROSPOT CHARLOTTE BAG,85099B,JUMBO BAG RED RETROSPOT,276,86
21166,COOK WITH WINE METAL SIGN,21175,GIN + TONIC DIET METAL SIGN,275,87
21754,HOME BUILDING BLOCK WORD,21755,LOVE BUILDING BLOCK WORD,275,87
22726,ALARM CLOCK BAKELIKE GREEN,22730,ALARM CLOCK BAKELIKE IVORY,275,87
20727,LUNCH BAG  BLACK SKULL.,85099B,JUMBO BAG RED RETROSPOT,272,90
21914,BLUE HARMONICA IN BOX,21915,RED  HARMONICA IN BOX,272,90
84879,ASSORTED COLOUR BIRD ORNAMENT,85123A,WHITE HANGING HEART T-LIGHT HOLDER,271,92
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,85099B,JUMBO BAG RED RETROSPOT,268,93
22469,HEART OF WICKER SMALL,85123A,WHITE HANGING HEART T-LIGHT HOLDER,268,93
22385,JUMBO BAG SPACEBOY DESIGN,85099B,JUMBO BAG RED RETROSPOT,267,95
22865,HAND WARMER OWL DESIGN,22867,HAND WARMER BIRD DESIGN,267,95
21212,PACK OF 72 RETROSPOT CAKE CASES,21975,PACK OF 60 DINOSAUR CAKE CASES,267,95
21166,COOK WITH WINE METAL SIGN,21181,PLEASE ONE PERSON METAL SIGN,265,98
22457,NATURAL SLATE HEART CHALKBOARD,85123A,WHITE HANGING HEART T-LIGHT HOLDER,265,98
22666,RECIPE BOX PANTRY YELLOW DESIGN,22720,SET OF 3 CAKE TINS PANTRY DESIGN,265,98
22624,IVORY KITCHEN SCALES,22625,RED KITCHEN SCALES,265,98
